,id_l1,NGC,TAREA,SP1,SP2,SP3,SP4,SP5,PCT1,PCT2,PCT3,PCT4,PCT5,BPH,TPH,QMD,MVOL,MVOL2,GVOL,GVOL2,HLOR,HLW,HD,CCF,CC,SI,AGE,BHAGE,AWSI,PLSI,SWSI,SIAREA,LCC,SC1COV,S01COV,CDENS,LCSOURCE,SCM,NOTE,AVISI,AVIBHAGE,TPR
4,1275880,3,956.86,Aw,Pl,NA,NA,NA,80,20,0,0,0,2.156958,132.482154,14.397837,2.655855,1.754517,7.700642,4.679103,3.467754,1,3.886102,62.449166,43.703191,8.451433,21,13,10.765598,10.181859,14.102558,956.86,VF,0,0,B,CCGC,NA,NA,15.302029,15,M
4,1614424,5,1868.59,Aw,Pl,Sw,Pb,NA,60,24,10,6,0,10.918521,1238.585641,10.594341,9.897639,11.143152,20.756165,33.99439,5.574606,1,6.242792,43.707355,33.109128,7.387892,41,32,6.518203,11.488463,11.561439,1868.59,VF,0,0,B,CCGC,NA,NA,11.480969,35,F
5,1008174,1,425.03,Fb,Sw,NA,NA,NA,75,25,0,0,0,17.78,732.71,17.57741,46.87,66.84,77.27,106.82,12.49,1,13.99,400,97.477703,6.997314,100,85,5,3,7.81,425.03,VF,0,0,D,CCGC,NA,NA,8.669554,85,F
4,1614385,26,9077.04,Aw,Pl,NA,NA,NA,86,14,0,0,0,17.607293,1072.598939,14.457149,45.557761,36.563443,82.27586,74.663219,8.051291,1,9.018919,83.082779,53.436889,8.610652,53,46,9.866446,12.369804,11.205918,9077.04,VF,0,0,C,CCGC,NA,NA,11.399583,47,F
3,1542128,4,1753.73,Pl,Sw,NA,NA,NA,93,7,0,0,0,5.742759,518.819334,11.871546,3.224724,1.928564,10.859837,8.360944,1.905168,1,2.131915,131.759973,70.245558,7.832209,17,5,7.418188,11.985954,19.209312,1753.73,VF,0,0,D,CCGC,NA,NA,11.195865,7,F
4,1614860,2,791.45,Aw,Pl,Pb,Sw,NA,62,14,14,10,0,30.903589,652.844674,24.550175,152.583274,202.683887,213.297603,229.663678,15.328019,1,17.16953,111.530609,64.15914,11.797057,89,84,13.117104,14.818857,15.400764,791.45,VF,0,0,C,CCGC,NA,NA,13.006932,83,F
3,1530588,8,3222.71,Pl,Sw,NA,NA,NA,80,20,0,0,0,9.219768,496.903839,15.370177,3.29796,8.880348,9.283912,19.85792,3.423599,1,3.835223,146.499366,74.018727,6.750414,30,16,7.954051,8.015059,20.70211,3222.71,VF,0,0,D,CCGC,NA,NA,8.885011,20,F
3,1469517,1,203.9,Pl,Sw,NA,NA,NA,75,25,0,0,0,2.21,253.66,10.532348,3.65,1.92,25.1,7.24,5.84,1,6.54,22.51,18.705514,9.283351,35,24,16.22,12.88,9.58,203.9,VF,0,0,A,CCGC,NA,WTP,11.293433,25,F
3,1168535,5,1943.79,Pl,Sw,NA,NA,NA,84,16,0,0,0,15.506992,1481.238184,11.545331,19.287233,25.970946,35.874133,61.1261,7.423655,1,8.316826,37.899259,29.43763,8.316826,50,38,6.696277,8.815463,9.989078,1943.79,VF,0,0,A,CCGC,NA,NA,10.044982,40,F
3,1300922,9,3173.04,Pl,Sw,NA,NA,NA,77,23,0,0,0,20.771463,1444.484505,13.531071,54.902854,42.189281,91.659479,91.673551,8.322848,1,9.323764,43.757647,33.14007,9.162653,51,40,8.765751,10.635913,10.637336,3173.04,VF,0,0,B,CCGC,NA,NA,10.973652,41,F
4,1379023,2,725.49,Aw,Pl,Pb,NA,NA,54,32,14,0,0,58.850693,1272.978152,24.261652,313.09256,471.926731,395.914164,509.055117,17.04597,1,19.098757,149.456968,74.716144,10.928617,120,114,10.456326,13.314607,11.263843,725.49,VF,0,0,D,CCGC,NA,NA,11.207965,114,F
3,1613773,2,817.2,Pl,Sw,Aw,NA,NA,60,34,6,0,0,30.894968,821.993053,21.875846,132.852949,182.454106,188.507554,225.391193,14.91814,1,16.711141,68.618784,46.80963,11.683853,86,77,12.738123,12.499375,12.658633,817.2,VF,0,0,B,CCGC,NA,WTP,13.20677,76,M
2,1168775,4,1250.36,Pl,NA,NA,NA,NA,100,0,0,0,0,12.566423,812.809706,14.030284,2.195105,6.348988,6.014621,20.08633,2.007038,1,2.250531,174.333837,79.888357,7.184707,19,6,6.242841,8.726818,23.490793,1250.36,VF,0,0,D,CCGC,NA,NA,10.321601,9,F
3,1841096,2,925.41,Pl,Sw,Pb,Aw,NA,76,11,7,6,0,40.457368,883.122603,24.151459,196.193368,311.43545,264.983215,341.530739,17.358919,1,19.446811,90.760224,56.612294,12.976715,99,91,14.688969,15.122451,16.907312,925.41,VF,0,0,C,CCGC,NA,NA,14.199901,89,M
4,942300,2,675.24,Aw,Pl,Pb,Sw,NA,55,22,18,5,0,40.236284,892.313247,23.961021,182.690564,356.051099,249.078113,377.451889,19.74825,1,22.121179,123.009161,67.751036,13.47436,120,116,13.846407,16.581516,17.127863,675.24,VF,0,0,C,CCGC,NA,NA,13.86348,114,F
3,1379036,10,3629.52,Pl,Sw,Aw,Pb,NA,69,15,10,6,0,49.673345,837.498887,27.480501,275.610557,504.031185,355.016965,479.288343,19.899942,1,22.289555,92.333912,57.235933,13.012928,145,137,14.300623,15.92104,16.718711,3629.52,VF,0,0,C,CCGC,NA,NA,13.443384,135,M
1,1008198,1,578.86,Sw,NA,NA,NA,NA,100,0,0,0,0,3.26,1664.98,4.992975,1.64,0.29,203.56,6.64,3.32,1,3.72,93.71,57.773914,5.216649,38,20,6.88,8.44,3,578.86,VF,0,0,C,CCGC,NA,NA,8.621627,23,F
1,613550,1,29.2,Sw,NA,NA,NA,NA,100,0,0,0,0,8.55,537.8,14.227471,13.51,9.14,36.89,23.59,4.86,1,5.45,73.74,49.257583,6.17136,45,29,6.05,4.74,5.4,29.2,VF,0,0,B,CCGC,NA,NA,9.459592,30,F
1,613223,1,404.41,Sw,NA,NA,NA,NA,100,0,0,0,0,17.01,484.98,21.132229,70.21,64.62,109.31,92.49,11.08,1,12.41,69.17,47.078685,8.826761,70,58,9.93,10.06,9.45,404.41,VF,0,0,B,CCGC,NA,NA,11.587248,55,M
1,612945,5,2223.2,Sw,NA,NA,NA,NA,100,0,0,0,0,0.766758,8.87755,33.161765,4.331595,3.923739,16.815401,3.980442,10.106236,1,11.32055,9.324125,8.220566,7.206138,77,63,11.850805,4.840419,6.268946,2223.2,VF,0,0,A,CCGC,NA,NA,9.397013,62,F
1,613015,1,335.18,Sw,NA,NA,NA,NA,100,0,0,0,0,27.94,483.28,27.13119,282.02,260.55,396.33,255.62,19.99,1,22.39,97.33,59.157052,8.987062,148,136,10.36,9.33,7.49,335.18,VF,0,0,C,CCGC,NA,NA,10.388922,133,M
2,1541972,2,568.74,Pl,NA,NA,NA,NA,100,0,0,0,0,4.519938,892.454397,8.030235,4.136469,1.964858,18.095807,10.608915,3.996159,1,4.48018,19.639557,16.530085,9.019771,26,15,5,12.532202,12.051463,568.74,VF,0,0,A,CCGC,NA,NA,11.333979,16,F
2,1168551,2,693.17,Pl,NA,NA,NA,NA,100,0,0,0,0,14.311261,895.080358,14.267997,5.20818,13.407454,12.269019,34.616638,3.963135,1,4.439551,123.398046,67.866209,6.942644,33,20,5.790271,6.933573,18.229306,693.17,VF,0,0,C,CCGC,NA,NA,8.928307,23,F
3,1124920,5,1815.03,Pl,Sw,NA,NA,NA,59,41,0,0,0,51.052755,742.909629,29.579897,347.922408,571.579358,434.407601,527.672526,21.568476,1,24.159707,118.289918,66.320042,12.268244,250,242,14.868826,13.695417,14.585871,1815.03,VF,0,0,C,CCGC,NA,NA,12.099639,240,M
3,1124928,5,2065.86,Pl,Sw,NA,NA,NA,62,38,0,0,0,40.467882,559.155456,30.355963,265.705248,496.287528,343.69018,423.756433,22.554262,1,25.260913,75.18046,49.925597,13.19095,250,242,14.942272,13.729489,13.461726,2065.86,VF,0,0,B,CCGC,NA,NA,12.807494,240,M
1,1594749,1,246.68,Sw,NA,NA,NA,NA,100,0,0,0,0,16.15,250.34,28.660001,213.37,197.21,420.31,175.81,25.95,1,29.07,76.68,50.611669,9.9891,222,211,17.59,13.39,8.76,246.68,VF,0,0,C,CCGC,NA,NA,11.14173,207,M
2,1503518,3,982.49,Pl,NA,NA,NA,NA,100,0,0,0,0,15.171189,339.060129,23.868576,64.343859,89.435848,96.526737,106.133102,14.729575,1,16.503834,28.140854,22.809659,10.008089,108,98,9.112193,8.694933,9.811474,982.49,VF,0,0,A,CCGC,NA,WTP,11.206797,98,F
2,965296,2,959.49,Pl,NA,NA,NA,NA,100,0,0,0,0,41.907347,1031.391315,22.745129,259.97215,326.771728,337.846692,368.645827,18.1739,1,20.365759,68.743654,46.8707,10.987209,159,150,13.026287,12.239964,10.31526,959.49,VF,0,0,B,CCGC,NA,WTP,11.511073,149,F
2,1168955,1,229.08,Pl,NA,NA,NA,NA,100,0,0,0,0,3.45,25.69,41.35067,11.11,37.72,22.87,28.02,18.23,1,20.42,10.33,9.06598,9.254339,250,239,16.57,8.23,14.46,229.08,VF,0,0,A,CCGC,NA,NA,9.589735,240,F
5,587675,2,599.6,Aw,Sw,Pl,Fd,NA,37,29,27,7,0,9.265848,559.126468,14.525886,2.108722,4.27005,6.381262,14.142464,2.03727,1,2.285861,315.385304,94.506171,7.633321,14,6,8.468947,7.922523,23.888563,599.6,VF,0,0,D,CCGC,NA,NA,16.932243,8,M
5,763406,5,1675.98,Aw,Sw,Pl,NA,NA,44,30,26,0,0,5.913649,379.665956,14.082573,10.024532,7.725173,21.356528,14.626201,4.516194,1,5.057698,274.4061,91.990454,7.267702,33,24,7.499267,7.515696,21.167317,1675.98,VF,0,0,D,CCGC,NA,NA,12.457271,27,F
5,888936,4,1370.36,Aw,Sw,Pb,Pl,NA,48,22,16,14,0,16.282997,1816.162629,10.68427,37.281619,24.336715,75.781944,66.41387,7.656254,1,8.573721,75.248867,49.957101,8.573721,50,43,9.343997,11.719115,11.546349,1370.36,VF,0,0,B,CCGC,NA,NA,11.593981,44,F
5,673537,4,1031.62,Aw,Sw,Pb,Pl,NA,45,21,18,16,0,17.707813,1553.948356,12.045345,38.254325,56.721791,64.615617,95.419643,11.04173,1,12.368308,76.99584,50.754969,9.247984,74,67,8.983481,12.159138,11.356341,1031.62,VF,0,0,C,CCGC,NA,NA,10.838159,68,F
5,894583,2,655,Aw,Sw,Pb,Pl,NA,37,32,24,7,0,11.523893,489.523847,17.312817,40.426321,42.042137,67.981618,65.947664,12.092478,1,13.547249,49.073008,36.330954,10.129304,75,69,10.470183,13.626031,11.661954,655,VF,0,0,B,CCGC,NA,NA,11.727972,69,F
5,508159,1,493.72,Aw,Sw,Pl,Pb,NA,28,25,25,22,0,57.75,1460.65,22.436648,345.4,534.49,431.82,583.04,20.64,1,23.12,209.22,85.409857,14.39697,120,116,14.9,15.15,17.03,493.72,VF,0,0,D,CCGC,NA,NA,14.74103,114,M
5,587494,14,4801.45,Aw,Sw,Pb,NA,NA,57,30,13,0,0,8.893798,147.138193,27.741886,47.801116,68.141131,78.047643,69.122903,17.628617,1,19.74959,49.168918,36.387109,11.447005,120,115,11.562026,13.568242,13.721041,4801.45,VF,0,0,B,CCGC,NA,WTP,11.779799,114,F
7,587653,2,636.62,Aw,Pl,Sw,NA,NA,38,35,27,0,0,9.238518,664.942306,13.300385,3.013843,3.074675,8.202299,12.18631,1.597209,1,1.788238,351.921076,96.07449,7.735834,11,3,8.991696,8.693086,25.273949,636.62,VF,0,0,D,CCGC,NA,NA,18.000543,5,M
7,200510,6,1867.99,Pl,Aw,NA,NA,NA,94,6,0,0,0,13.114736,1802.114934,9.62595,4.811086,3.392951,11.65669,17.334655,1.505434,1,1.685729,347.642992,95.916908,6.457287,17,3,9.161637,7.966424,26,1867.99,VF,0,0,D,CCGC,NA,NA,9.978968,7,F
7,359668,1,366.5,Pl,NA,NA,NA,NA,100,0,0,0,0,16.38,1085.01,13.86421,2,8.77,6.15,27.49,2.18,1,2.45,198.44,83.888679,6.498574,22,8,8.75,7.49,26,366.5,VF,0,0,D,CCGC,NA,NA,9.320583,12,F
7,200863,1,322.76,Pl,Aw,NA,NA,NA,89,11,0,0,0,16.61,1454.17,12.059583,2.72,8.62,7.62,29.65,2.41,1,2.7,265.5,91.306547,6.383777,24,10,9.16,6.52,26,322.76,VF,0,0,D,CCGC,NA,NA,8.996423,14,F
7,1082523,6,2354.55,Pl,Sw,Aw,NA,NA,74,16,10,0,0,12.662867,1062.402586,12.31903,4.605832,10.644741,10.747596,31.435052,4.086841,1,4.579757,162.910815,77.659734,7.63058,31,19,9.942616,8.652268,23.727014,2354.55,VF,0,0,D,CCGC,NA,NA,9.726685,21,F
7,1049300,3,1059.11,Pl,Sw,Aw,NA,NA,82,13,5,0,0,17.043158,3216.787631,8.213323,22.606719,13.432464,43.623916,51.217323,5.127699,1,5.741469,49.1294,36.363977,7.795824,37,25,9.116778,10.213711,5.705706,1059.11,VF,0,0,B,CCGC,NA,NA,9.691848,27,F